>Escherichia_coli_str_K_12_substr_MG1655_tRNA-eColiLys-TTT-1-1 (tRNAscan-SE ID: chr.trna9) chr:780554-780629 (+) Lys (TTT) 76 bp Sc: 94.9
>Danio_rerio_tRNA-Ala-AGC-1-1 (tRNAscan-SE ID: chr21.trna139) Ala (AGC) 72 bp Sc: 78.2 chr21:18536315-18536386 (+)
>Danio_rerio_tRNA-Ala-AGC-2-1 (tRNAscan-SE ID: chr4.trna12416) Ala (AGC) 73 bp Sc: 62.1 chr4:760949-761021 (-)
>Danio_rerio_tRNA-Ala-AGC-2-2 (tRNAscan-SE ID: chr14.trna56) Ala (AGC) 73 bp Sc: 62.1 chr14:7700346-7700418 (-)
>Danio_rerio_tRNA-Ala-AGC-2-3 (tRNAscan-SE ID: chr14.trna55) Ala (AGC) 73 bp Sc: 62.1 chr14:7700939-7701011 (-)
>Danio_rerio_tRNA-Ala-AGC-3-1 (tRNAscan-SE ID: chr24.trna9) Ala (AGC) 73 bp Sc: 61.3 chr24:24828963-24829035 (+)
>Danio_rerio_tRNA-Ala-CGC-1-1 (tRNAscan-SE ID: chr21.trna11) Ala (CGC) 72 bp Sc: 78.2 chr21:18499791-18499862 (+)
>Danio_rerio_tRNA-Ala-CGC-1-10 (tRNAscan-SE ID: chr21.trna122) Ala (CGC) 72 bp Sc: 78.2 chr21:18531489-18531560 (+)
>Danio_rerio_tRNA-Ala-CGC-1-11 (tRNAscan-SE ID: chr21.trna127) Ala (CGC) 72 bp Sc: 78.2 chr21:18532904-18532975 (+)
>Danio_rerio_tRNA-Ala-CGC-1-12 (tRNAscan-SE ID: chr21.trna129) Ala (CGC) 72 bp Sc: 78.2 chr21:18533472-18533543 (+)
>Danio_rerio_tRNA-Ala-CGC-1-13 (tRNAscan-SE ID: chr21.trna143) Ala (CGC) 72 bp Sc: 78.2 chr21:18537438-18537509 (+)
>Danio_rerio_tRNA-Ala-CGC-1-14 (tRNAscan-SE ID: chr21.trna147) Ala (CGC) 72 bp Sc: 78.2 chr21:18538561-18538632 (+)
>Danio_rerio_tRNA-Ala-CGC-1-15 (tRNAscan-SE ID: chr21.trna158) Ala (CGC) 72 bp Sc: 78.2 chr21:18541685-18541756 (+)
>Danio_rerio_tRNA-Ala-CGC-1-16 (tRNAscan-SE ID: chr21.trna172) Ala (CGC) 72 bp Sc: 78.2 chr21:18545576-18545647 (+)
>Danio_rerio_tRNA-Ala-CGC-1-17 (tRNAscan-SE ID: chr21.trna185) Ala (CGC) 72 bp Sc: 78.2 chr21:18549297-18549368 (+)
>Danio_rerio_tRNA-Ala-CGC-1-18 (tRNAscan-SE ID: chr21.trna192) Ala (CGC) 72 bp Sc: 78.2 chr21:18551314-18551385 (+)
>Danio_rerio_tRNA-Ala-CGC-1-19 (tRNAscan-SE ID: chr21.trna204) Ala (CGC) 72 bp Sc: 78.2 chr21:18554745-18554816 (+)
>Danio_rerio_tRNA-Ala-CGC-1-2 (tRNAscan-SE ID: chr21.trna13) Ala (CGC) 72 bp Sc: 78.2 chr21:18500359-18500430 (+)
>Danio_rerio_tRNA-Ala-CGC-1-20 (tRNAscan-SE ID: chr21.trna236) Ala (CGC) 72 bp Sc: 78.2 chr21:18563906-18563977 (+)
>Danio_rerio_tRNA-Ala-CGC-1-21 (tRNAscan-SE ID: chr21.trna245) Ala (CGC) 72 bp Sc: 78.2 chr21:18566463-18566534 (+)
>Danio_rerio_tRNA-Ala-CGC-1-3 (tRNAscan-SE ID: chr21.trna19) Ala (CGC) 72 bp Sc: 78.2 chr21:18502092-18502163 (+)
>Danio_rerio_tRNA-Ala-CGC-1-4 (tRNAscan-SE ID: chr21.trna31) Ala (CGC) 72 bp Sc: 78.2 chr21:18505523-18505594 (+)
>Danio_rerio_tRNA-Ala-CGC-1-5 (tRNAscan-SE ID: chr21.trna38) Ala (CGC) 72 bp Sc: 78.2 chr21:18507540-18507611 (+)
>Danio_rerio_tRNA-Ala-CGC-1-6 (tRNAscan-SE ID: chr21.trna77) Ala (CGC) 72 bp Sc: 78.2 chr21:18518677-18518748 (+)
>Danio_rerio_tRNA-Ala-CGC-1-7 (tRNAscan-SE ID: chr21.trna88) Ala (CGC) 72 bp Sc: 78.2 chr21:18521800-18521871 (+)
>Danio_rerio_tRNA-Ala-CGC-1-8 (tRNAscan-SE ID: chr21.trna96) Ala (CGC) 72 bp Sc: 78.2 chr21:18524061-18524132 (+)
>Danio_rerio_tRNA-Ala-CGC-1-9 (tRNAscan-SE ID: chr21.trna110) Ala (CGC) 72 bp Sc: 78.2 chr21:18528058-18528129 (+)
>Danio_rerio_tRNA-Ala-CGC-2-1 (tRNAscan-SE ID: chr7.trna160) Ala (CGC) 72 bp Sc: 78.7 chr7:18601478-18601549 (-)
>Danio_rerio_tRNA-Ala-CGC-2-2 (tRNAscan-SE ID: chr21.trna278) Ala (CGC) 72 bp Sc: 78.7 chr21:31147091-31147162 (+)
>Danio_rerio_tRNA-Ala-CGC-3-1 (tRNAscan-SE ID: chr21.trna84) Ala (CGC) 72 bp Sc: 78.2 chr21:18520674-18520745 (+)
>Danio_rerio_tRNA-Ala-CGC-3-2 (tRNAscan-SE ID: chr21.trna92) Ala (CGC) 72 bp Sc: 78.2 chr21:18522935-18523006 (+)
>Danio_rerio_tRNA-Ala-CGC-3-3 (tRNAscan-SE ID: chr21.trna102) Ala (CGC) 72 bp Sc: 78.2 chr21:18525758-18525829 (+)
>Danio_rerio_tRNA-Ala-CGC-3-4 (tRNAscan-SE ID: chr21.trna161) Ala (CGC) 72 bp Sc: 78.2 chr21:18542450-18542521 (+)
>Danio_rerio_tRNA-Ala-CGC-3-5 (tRNAscan-SE ID: chr21.trna178) Ala (CGC) 72 bp Sc: 78.2 chr21:18547294-18547365 (+)
>Danio_rerio_tRNA-Ala-CGC-3-6 (tRNAscan-SE ID: chr21.trna215) Ala (CGC) 72 bp Sc: 78.2 chr21:18557893-18557964 (+)
>Danio_rerio_tRNA-Ala-CGC-3-7 (tRNAscan-SE ID: chr21.trna216) Ala (CGC) 72 bp Sc: 78.2 chr21:18558177-18558248 (+)
>Danio_rerio_tRNA-Ala-CGC-3-8 (tRNAscan-SE ID: chr21.trna220) Ala (CGC) 72 bp Sc: 78.2 chr21:18559326-18559397 (+)
>Danio_rerio_tRNA-Ala-CGC-3-9 (tRNAscan-SE ID: chr21.trna223) Ala (CGC) 72 bp Sc: 78.2 chr21:18560177-18560248 (+)
>Danio_rerio_tRNA-Ala-CGC-4-1 (tRNAscan-SE ID: chr21.trna167) Ala (CGC) 72 bp Sc: 74.0 chr21:18544149-18544220 (+)
>Danio_rerio_tRNA-Ala-CGC-4-2 (tRNAscan-SE ID: chr21.trna228) Ala (CGC) 72 bp Sc: 74.0 chr21:18561611-18561682 (+)
>Danio_rerio_tRNA-Ala-CGC-5-1 (tRNAscan-SE ID: chr21.trna16) Ala (CGC) 72 bp Sc: 68.4 chr21:18501226-18501297 (+)
>Danio_rerio_tRNA-Ala-CGC-5-2 (tRNAscan-SE ID: chr21.trna35) Ala (CGC) 72 bp Sc: 68.4 chr21:18506674-18506745 (+)
>Danio_rerio_tRNA-Ala-CGC-5-3 (tRNAscan-SE ID: chr21.trna61) Ala (CGC) 72 bp Sc: 68.4 chr21:18514101-18514172 (+)
>Danio_rerio_tRNA-Ala-CGC-5-4 (tRNAscan-SE ID: chr21.trna80) Ala (CGC) 72 bp Sc: 68.4 chr21:18519526-18519597 (+)
>Danio_rerio_tRNA-Ala-CGC-5-5 (tRNAscan-SE ID: chr21.trna107) Ala (CGC) 72 bp Sc: 68.4 chr21:18527192-18527263 (+)
>Danio_rerio_tRNA-Ala-CGC-5-6 (tRNAscan-SE ID: chr21.trna189) Ala (CGC) 72 bp Sc: 68.4 chr21:18550448-18550519 (+)
>Danio_rerio_tRNA-Ala-CGC-5-7 (tRNAscan-SE ID: chr21.trna208) Ala (CGC) 72 bp Sc: 68.4 chr21:18555892-18555963 (+)
>Danio_rerio_tRNA-Ala-CGC-6-1 (tRNAscan-SE ID: chr21.trna55) Ala (CGC) 72 bp Sc: 61.6 chr21:18512385-18512456 (+)
>Danio_rerio_tRNA-Ala-CGC-6-2 (tRNAscan-SE ID: chr21.trna65) Ala (CGC) 72 bp Sc: 61.6 chr21:18515250-18515321 (+)
>Danio_rerio_tRNA-Ala-CGC-6-3 (tRNAscan-SE ID: chr21.trna71) Ala (CGC) 72 bp Sc: 61.6 chr21:18516965-18517036 (+)
>Danio_rerio_tRNA-Ala-CGC-6-4 (tRNAscan-SE ID: chr21.trna89) Ala (CGC) 72 bp Sc: 61.6 chr21:18522084-18522155 (+)
>Danio_rerio_tRNA-Ala-CGC-6-5 (tRNAscan-SE ID: chr21.trna183) Ala (CGC) 72 bp Sc: 61.6 chr21:18548728-18548799 (+)
>Danio_rerio_tRNA-Ala-CGC-6-6 (tRNAscan-SE ID: chr21.trna212) Ala (CGC) 72 bp Sc: 61.6 chr21:18557042-18557113 (+)
>Danio_rerio_tRNA-Ala-TGC-1-1 (tRNAscan-SE ID: chr21.trna9) Ala (TGC) 72 bp Sc: 78.2 chr21:18499227-18499298 (+)
>Danio_rerio_tRNA-Ala-TGC-1-10 (tRNAscan-SE ID: chr21.trna34) Ala (TGC) 72 bp Sc: 78.2 chr21:18506375-18506446 (+)
>Danio_rerio_tRNA-Ala-TGC-1-11 (tRNAscan-SE ID: chr21.trna37) Ala (TGC) 72 bp Sc: 78.2 chr21:18507257-18507328 (+)
>Danio_rerio_tRNA-Ala-TGC-1-12 (tRNAscan-SE ID: chr21.trna45) Ala (TGC) 72 bp Sc: 78.2 chr21:18509539-18509610 (+)
>Danio_rerio_tRNA-Ala-TGC-1-13 (tRNAscan-SE ID: chr21.trna48) Ala (TGC) 72 bp Sc: 78.2 chr21:18510405-18510476 (+)
>Danio_rerio_tRNA-Ala-TGC-1-14 (tRNAscan-SE ID: chr21.trna50) Ala (TGC) 72 bp Sc: 78.2 chr21:18510972-18511043 (+)
>Danio_rerio_tRNA-Ala-TGC-1-15 (tRNAscan-SE ID: chr21.trna58) Ala (TGC) 72 bp Sc: 78.2 chr21:18513234-18513305 (+)
>Danio_rerio_tRNA-Ala-TGC-1-16 (tRNAscan-SE ID: chr21.trna59) Ala (TGC) 72 bp Sc: 78.2 chr21:18513518-18513589 (+)
>Danio_rerio_tRNA-Ala-TGC-1-17 (tRNAscan-SE ID: chr21.trna72) Ala (TGC) 72 bp Sc: 78.2 chr21:18517251-18517322 (+)
>Danio_rerio_tRNA-Ala-TGC-1-18 (tRNAscan-SE ID: chr21.trna79) Ala (TGC) 72 bp Sc: 78.2 chr21:18519242-18519313 (+)
>Danio_rerio_tRNA-Ala-TGC-1-19 (tRNAscan-SE ID: chr21.trna85) Ala (TGC) 72 bp Sc: 78.2 chr21:18520958-18521029 (+)
>Danio_rerio_tRNA-Ala-TGC-1-2 (tRNAscan-SE ID: chr21.trna10) Ala (TGC) 72 bp Sc: 78.2 chr21:18499511-18499582 (+)
>Danio_rerio_tRNA-Ala-TGC-1-20 (tRNAscan-SE ID: chr21.trna90) Ala (TGC) 72 bp Sc: 78.2 chr21:18522369-18522440 (+)
>Danio_rerio_tRNA-Ala-TGC-1-21 (tRNAscan-SE ID: chr21.trna93) Ala (TGC) 72 bp Sc: 78.2 chr21:18523219-18523290 (+)
>Danio_rerio_tRNA-Ala-TGC-1-22 (tRNAscan-SE ID: chr21.trna97) Ala (TGC) 72 bp Sc: 78.2 chr21:18524345-18524416 (+)
>Danio_rerio_tRNA-Ala-TGC-1-23 (tRNAscan-SE ID: chr21.trna105) Ala (TGC) 72 bp Sc: 78.2 chr21:18526609-18526680 (+)
>Danio_rerio_tRNA-Ala-TGC-1-24 (tRNAscan-SE ID: chr21.trna106) Ala (TGC) 72 bp Sc: 78.2 chr21:18526893-18526964 (+)
>Danio_rerio_tRNA-Ala-TGC-1-25 (tRNAscan-SE ID: chr21.trna109) Ala (TGC) 72 bp Sc: 78.2 chr21:18527775-18527846 (+)
>Danio_rerio_tRNA-Ala-TGC-1-26 (tRNAscan-SE ID: chr21.trna117) Ala (TGC) 72 bp Sc: 78.2 chr21:18530057-18530128 (+)
>Danio_rerio_tRNA-Ala-TGC-1-27 (tRNAscan-SE ID: chr21.trna120) Ala (TGC) 72 bp Sc: 78.2 chr21:18530923-18530994 (+)
